experiment,parameter,mean_range_error_m,mean_angle_error_deg,hit_rate
noise_scale,0.4,3.372628122965492,3.5999999999999996,0.6666666666666666
noise_scale,0.7,3.372628122965492,3.5999999999999996,0.6666666666666666
noise_scale,1.0,3.372628122965492,3.5999999999999996,0.6666666666666666
noise_scale,1.5,3.372628122965492,3.5999999999999996,0.6666666666666666
noise_scale,2.2,3.3862133280436217,3.5999999999999996,0.6666666666666666
noise_scale,3.2,3.372628122965492,3.5999999999999996,0.6666666666666666
sound_speed_error_mps,-30,3.372628122965492,3.6666666666666674,0.6666666666666666
sound_speed_error_mps,-15,3.372628122965492,3.6666666666666674,0.6666666666666666
sound_speed_error_mps,0,3.372628122965492,3.5999999999999996,0.6666666666666666
sound_speed_error_mps,15,3.372628122965492,3.666666666666666,0.6666666666666666
sound_speed_error_mps,30,3.372628122965492,3.666666666666666,0.6666666666666666
array_elements,4,6.6866717020670565,6.8,0.3333333333333333
array_elements,6,6.6866717020670565,6.8,0.3333333333333333
array_elements,8,3.372628122965492,3.5999999999999996,0.6666666666666666
array_elements,10,3.372628122965492,3.5999999999999996,0.6666666666666666
array_elements,12,3.372628122965492,3.5999999999999996,0.6666666666666666
array_elements,16,3.372628122965492,3.5999999999999996,0.6666666666666666
