ping,true_bottom_m,est_bottom_m,error_m
0,17.0000,16.9557,-0.0443
1,17.1706,17.1098,-0.0608
2,17.3406,17.4181,0.0775
3,17.5092,17.4181,-0.0911
4,17.6757,17.7264,0.0507
5,17.8396,17.8805,0.0410
6,18.0000,18.0347,0.0347
7,18.1565,18.0347,-0.1218
8,18.3083,18.3430,0.0346
9,18.4550,18.3430,-0.1120
10,18.5958,18.4971,-0.0987
11,18.7303,18.8054,0.0751
12,18.8580,18.9595,0.1016
13,18.9782,18.9595,-0.0187
14,19.0907,19.1137,0.0230
15,19.1950,19.1137,-0.0813
16,19.2907,19.2678,-0.0228
17,19.3774,19.4220,0.0446
18,19.4549,19.5761,0.1212
19,19.5229,19.5761,0.0533
20,19.5811,19.7303,0.1491
21,19.6295,19.5761,-0.0534
22,19.6679,19.7303,0.0623
23,19.6963,19.5761,-0.1202
24,19.7145,19.8844,0.1699
25,19.7226,19.7303,0.0077
26,19.7207,19.5761,-0.1446
27,19.7088,19.5761,-0.1327
28,19.6872,19.5761,-0.1111
29,19.6560,19.7303,0.0742
30,19.6155,19.5761,-0.0394
31,19.5660,19.5761,0.0101
32,19.5077,19.4220,-0.0857
33,19.4411,19.5761,0.1350
34,19.3665,19.2678,-0.0987
35,19.2844,19.2678,-0.0166
36,19.1953,18.9595,-0.2358
37,19.0997,19.1137,0.0140
38,18.9981,18.8054,-0.1927
39,18.8911,18.9595,0.0684
40,18.7793,18.9595,0.1803
41,18.6632,18.8054,0.1422
42,18.5436,18.6513,0.1076
43,18.4211,18.3430,-0.0781
44,18.2963,18.1888,-0.1074
45,18.1698,18.0347,-0.1352
46,18.0425,17.8805,-0.1620
47,17.9150,17.8805,-0.0344
48,17.7879,17.7264,-0.0615
49,17.6619,17.5723,-0.0897
50,17.5378,17.4181,-0.1197
51,17.4162,17.2640,-0.1522
52,17.2977,17.2640,-0.0337
53,17.1829,17.2640,0.0810
54,17.0727,16.9557,-0.1170
55,16.9674,16.8015,-0.1658
56,16.8677,16.9557,0.0880
57,16.7742,16.6474,-0.1268
58,16.6874,16.9557,0.2683
59,16.6078,16.6474,0.0396
60,16.5358,16.4933,-0.0426
61,16.4719,16.6474,0.1755
62,16.4165,16.3391,-0.0774
63,16.3699,16.4933,0.1233
64,16.3325,16.1850,-0.1475
65,16.3045,16.3391,0.0346
66,16.2861,16.3391,0.0530
67,16.2776,16.1850,-0.0926
68,16.2790,16.4933,0.2143
69,16.2905,16.3391,0.0486
70,16.3121,16.3391,0.0271
71,16.3437,16.1850,-0.1588
72,16.3855,16.4933,0.1078
73,16.4372,16.6474,0.2102
74,16.4987,16.4933,-0.0055
75,16.5699,16.4933,-0.0767
76,16.6505,16.6474,-0.0031
77,16.7403,16.8015,0.0613
78,16.8388,16.9557,0.1169
79,16.9459,16.8015,-0.1443
80,17.0610,17.1098,0.0488
81,17.1838,17.1098,-0.0740
82,17.3138,17.4181,0.1043
83,17.4504,17.2640,-0.1865
84,17.5933,17.5723,-0.0210
85,17.7417,17.7264,-0.0153
86,17.8952,17.8805,-0.0146
87,18.0531,18.1888,0.1358
88,18.2147,18.0347,-0.1800
89,18.3795,18.3430,-0.0366
90,18.5468,18.4971,-0.0497
91,18.7159,18.6513,-0.0647
92,18.8862,19.1137,0.2275
93,19.0569,18.9595,-0.0974
94,19.2274,19.4220,0.1946
95,19.3970,19.4220,0.0250
96,19.5650,19.4220,-0.1430
97,19.7307,19.7303,-0.0004
98,19.8935,19.8844,-0.0091
99,20.0527,20.0385,-0.0141
100,20.2077,20.1927,-0.0150
101,20.3578,20.3468,-0.0110
102,20.5026,20.6551,0.1525
103,20.6414,20.5010,-0.1404
104,20.7736,20.6551,-0.1185
105,20.8989,20.8092,-0.0896
106,21.0166,21.1175,0.1009
107,21.1264,21.1175,-0.0089
108,21.2278,21.1175,-0.1103
109,21.3206,21.4258,0.1052
110,21.4042,21.4258,0.0216
111,21.4786,21.2717,-0.2069
112,21.5434,21.5800,0.0366
113,21.5984,21.5800,-0.0184
114,21.6435,21.7341,0.0906
115,21.6785,21.7341,0.0556
116,21.7035,21.8882,0.1848
117,21.7183,21.7341,0.0158
118,21.7231,21.7341,0.0110
119,21.7178,21.5800,-0.1379
120,21.7027,21.5800,-0.1228
121,21.6779,21.5800,-0.0979
122,21.6436,21.7341,0.0905
123,21.6000,21.5800,-0.0200
124,21.5475,21.5800,0.0325
125,21.4864,21.4258,-0.0606
126,21.4171,21.2717,-0.1454
127,21.3400,21.1175,-0.2224
128,21.2555,21.1175,-0.1380
129,21.1642,20.9634,-0.2008
130,21.0665,20.9634,-0.1031
131,20.9630,20.6551,-0.3079
132,20.8543,20.8092,-0.0451
133,20.7410,20.8092,0.0682
134,20.6237,20.5010,-0.1228
135,20.5031,20.3468,-0.1562
136,20.3797,20.3468,-0.0329
137,20.2543,20.3468,0.0926
138,20.1275,20.1927,0.0652
139,20.0000,20.0385,0.0385
